"","pathway"
"5509","C5GO - GOBP Microtubule Organizing Center Organization"
"5510","C5GO - GOBP Microtubule Polymerization"
"5511","C5GO - GOBP Microtubule Polymerization or Depolymerization"
"5512","C5GO - GOBP Microtubule Severing"
"5513","C5GO - GOBP Microvillus Assembly"
"5514","C5GO - GOBP Microvillus Organization"
"5515","C5GO - GOBP Micturition"
"5516","C5GO - GOBP Midbody Abscission"
"5517","C5GO - GOBP Midbrain Development"
"5518","C5GO - GOBP Midbrain Dopaminergic Neuron Differentiation"
"5519","C5GO - GOBP Midbrain Hindbrain Boundary Development"
"5520","C5GO - GOBP Middle Ear Morphogenesis"
"5521","C5GO - GOBP Midgut Development"
"5522","C5GO - GOBP Mineralocorticoid Biosynthetic Process"
"5523","C5GO - GOBP Mineralocorticoid Metabolic Process"
"5524","C5GO - GOBP Mineralocorticoid Secretion"
"5525","C5GO - GOBP Minus End Directed Organelle Transport Along Microtubule"
"5526","C5GO - GOBP MiRNA Catabolic Process"
"5527","C5GO - GOBP MiRNA Loading Onto Risc Involved in Gene Silencing by MiRNA"
"5528","C5GO - GOBP MiRNA Metabolic Process"
"5529","C5GO - GOBP Mismatch Repair"
"5530","C5GO - GOBP Mitochondrial Acetyl Coa Biosynthetic Process from Pyruvate"
"5531","C5GO - GOBP Mitochondrial Adp Transmembrane Transport"
"5532","C5GO - GOBP Mitochondrial Atp Synthesis Coupled Proton Transport"
"5533","C5GO - GOBP Mitochondrial Calcium Ion Homeostasis"
"5534","C5GO - GOBP Mitochondrial Calcium Ion Transmembrane Transport"
"5535","C5GO - GOBP Mitochondrial Cytochrome C Oxidase Assembly"
"5536","C5GO - GOBP Mitochondrial Depolarization"
"5537","C5GO - GOBP Mitochondrial DNA Metabolic Process"
"5538","C5GO - GOBP Mitochondrial DNA Repair"
"5539","C5GO - GOBP Mitochondrial DNA Replication"
"5540","C5GO - GOBP Mitochondrial Electron Transport Cytochrome C to Oxygen"
"5541","C5GO - GOBP Mitochondrial Electron Transport Nadh to Ubiquinone"
"5542","C5GO - GOBP Mitochondrial Electron Transport Ubiquinol to Cytochrome C"
"5543","C5GO - GOBP Mitochondrial Fission"
"5544","C5GO - GOBP Mitochondrial Fragmentation Involved in Apoptotic Process"
"5545","C5GO - GOBP Mitochondrial Fusion"
"5546","C5GO - GOBP Mitochondrial Gene Expression"
"5547","C5GO - GOBP Mitochondrial Genome Maintenance"
"5548","C5GO - GOBP Mitochondrial Membrane Organization"
"5549","C5GO - GOBP Mitochondrial Outer Membrane Permeabilization"
"5550","C5GO - GOBP Mitochondrial Outer Membrane Permeabilization Involved in Programmed Cell Death"
"5551","C5GO - GOBP Mitochondrial Protein Catabolic Process"
"5552","C5GO - GOBP Mitochondrial Protein Processing"
"5553","C5GO - GOBP Mitochondrial Proton Transporting Atp Synthase Complex Assembly"
"5554","C5GO - GOBP Mitochondrial Respirasome Assembly"
"5555","C5GO - GOBP Mitochondrial Respiratory Chain Complex Assembly"
"5556","C5GO - GOBP Mitochondrial Ribosome Assembly"
"5557","C5GO - GOBP Mitochondrial RNA 3 End Processing"
"5558","C5GO - GOBP Mitochondrial RNA Catabolic Process"
"5559","C5GO - GOBP Mitochondrial RNA Metabolic Process"
"5560","C5GO - GOBP Mitochondrial RNA Modification"
"5561","C5GO - GOBP Mitochondrial RNA Processing"
"5562","C5GO - GOBP Mitochondrial Transcription"
"5563","C5GO - GOBP Mitochondrial Translation"
"5564","C5GO - GOBP Mitochondrial Translational Elongation"
"5565","C5GO - GOBP Mitochondrial Transmembrane Transport"
"5566","C5GO - GOBP Mitochondrial Transport"
"5567","C5GO - GOBP Mitochondrial TRNA Processing"
"5568","C5GO - GOBP Mitochondrion Distribution"
"5569","C5GO - GOBP Mitochondrion Endoplasmic Reticulum Membrane Tethering"
"5570","C5GO - GOBP Mitochondrion Localization"
"5571","C5GO - GOBP Mitochondrion Morphogenesis"
"5572","C5GO - GOBP Mitochondrion Organization"
"5573","C5GO - GOBP Mitophagy"
"5574","C5GO - GOBP Mitotic Cell Cycle"
"5575","C5GO - GOBP Mitotic Cell Cycle Checkpoint Signaling"
"5576","C5GO - GOBP Mitotic Cell Cycle Phase Transition"
"5577","C5GO - GOBP Mitotic Cell Cycle Process"
"5578","C5GO - GOBP Mitotic Chromosome Condensation"
"5579","C5GO - GOBP Mitotic Cytokinesis"
"5580","C5GO - GOBP Mitotic Cytokinetic Process"
"5581","C5GO - GOBP Mitotic DNA Integrity Checkpoint Signaling"
"5582","C5GO - GOBP Mitotic DNA Replication"
"5583","C5GO - GOBP Mitotic DNA Replication Checkpoint Signaling"
"5584","C5GO - GOBP Mitotic G1 S Transition Checkpoint Signaling"
"5585","C5GO - GOBP Mitotic G2 DNA Damage Checkpoint Signaling"
"5586","C5GO - GOBP Mitotic G2 M Transition Checkpoint"
"5587","C5GO - GOBP Mitotic Intra S DNA Damage Checkpoint Signaling"
"5588","C5GO - GOBP Mitotic Metaphase Plate Congression"
"5589","C5GO - GOBP Mitotic Nuclear Division"
"5590","C5GO - GOBP Mitotic Nuclear Membrane Disassembly"
"5591","C5GO - GOBP Mitotic Nuclear Membrane Organization"
"5592","C5GO - GOBP Mitotic Recombination"
"5593","C5GO - GOBP Mitotic Sister Chromatid Cohesion"
"5594","C5GO - GOBP Mitotic Sister Chromatid Segregation"
"5595","C5GO - GOBP Mitotic Spindle Assembly"
"5596","C5GO - GOBP Mitotic Spindle Midzone Assembly"
"5597","C5GO - GOBP Mitotic Spindle Organization"
"5598","C5GO - GOBP Mitral Valve Development"
"5599","C5GO - GOBP Modification Dependent Macromolecule Catabolic Process"
"5600","C5GO - GOBP Modification of Postsynaptic Actin Cytoskeleton"
"5601","C5GO - GOBP Modification of Postsynaptic Structure"
"5602","C5GO - GOBP Modification of Synaptic Structure"
"5603","C5GO - GOBP Modified Amino Acid Transport"
"5604","C5GO - GOBP Modulation by Host of Symbiont Catalytic Activity"
"5605","C5GO - GOBP Modulation by Host of Symbiont Process"
"5606","C5GO - GOBP Modulation by Host of Viral Genome Replication"
"5607","C5GO - GOBP Modulation by Host of Viral Process"
"5608","C5GO - GOBP Modulation of Age Related Behavioral Decline"
"5609","C5GO - GOBP Modulation of Excitatory Postsynaptic Potential"
"5610","C5GO - GOBP Modulation of Process of Another Organism"
"5611","C5GO - GOBP Molting Cycle"
"5612","C5GO - GOBP Monoacylglycerol Biosynthetic Process"
"5613","C5GO - GOBP Monoacylglycerol Catabolic Process"
"5614","C5GO - GOBP Monoacylglycerol Metabolic Process"
"5615","C5GO - GOBP Monoamine Transport"
"5616","C5GO - GOBP Monocarboxylic Acid Biosynthetic Process"
"5617","C5GO - GOBP Monocarboxylic Acid Catabolic Process"
"5618","C5GO - GOBP Monocarboxylic Acid Metabolic Process"
"5619","C5GO - GOBP Monocarboxylic Acid Transport"
"5620","C5GO - GOBP Monocyte Activation"
"5621","C5GO - GOBP Monocyte Aggregation"
"5622","C5GO - GOBP Monocyte Chemotactic Protein 1 Production"
"5623","C5GO - GOBP Monocyte Chemotaxis"
"5624","C5GO - GOBP Monocyte Differentiation"
"5625","C5GO - GOBP Monocyte Extravasation"
"5626","C5GO - GOBP Mononuclear Cell Differentiation"
"5627","C5GO - GOBP Mononuclear Cell Migration"
"5628","C5GO - GOBP Monosaccharide Biosynthetic Process"
"5629","C5GO - GOBP Monosaccharide Catabolic Process"
"5630","C5GO - GOBP Monosaccharide Metabolic Process"
"5631","C5GO - GOBP Monoterpenoid Metabolic Process"
"5632","C5GO - GOBP Monoubiquitinated Protein Deubiquitination"
"5633","C5GO - GOBP Monovalent Inorganic Anion Homeostasis"
"5634","C5GO - GOBP Monovalent Inorganic Cation Homeostasis"
"5635","C5GO - GOBP Morphogenesis of A Branching Structure"
"5636","C5GO - GOBP Morphogenesis of A Polarized Epithelium"
"5637","C5GO - GOBP Morphogenesis of An Endothelium"
"5638","C5GO - GOBP Morphogenesis of An Epithelial Bud"
"5639","C5GO - GOBP Morphogenesis of An Epithelial Fold"
"5640","C5GO - GOBP Morphogenesis of An Epithelial Sheet"
"5641","C5GO - GOBP Morphogenesis of An Epithelium"
"5642","C5GO - GOBP Morphogenesis of Embryonic Epithelium"
"5643","C5GO - GOBP Motile Cilium Assembly"
"5644","C5GO - GOBP Motor Behavior"
"5645","C5GO - GOBP Motor Learning"
"5646","C5GO - GOBP Motor Neuron Apoptotic Process"
"5647","C5GO - GOBP Motor Neuron Axon Guidance"
"5648","C5GO - GOBP Motor Neuron Migration"
"5649","C5GO - GOBP MRNA 3 End Processing"
"5650","C5GO - GOBP MRNA 3 End Processing by Stem Loop Binding and Cleavage"
"5651","C5GO - GOBP MRNA 3 Splice Site Recognition"
"5652","C5GO - GOBP MRNA 5 Splice Site Recognition"
"5653","C5GO - GOBP MRNA AlteRNAtive Polyadenylation"
"5654","C5GO - GOBP MRNA Catabolic Process"
"5655","C5GO - GOBP MRNA Cis Splicing via Spliceosome"
"5656","C5GO - GOBP MRNA Cleavage"
"5657","C5GO - GOBP MRNA Cleavage Involved in MRNA Processing"
"5658","C5GO - GOBP MRNA Destabilization Mediated Gene Silencing"
"5659","C5GO - GOBP MRNA Export from Nucleus"
"5660","C5GO - GOBP MRNA Metabolic Process"
"5661","C5GO - GOBP MRNA Methylation"
"5662","C5GO - GOBP MRNA Modification"
"5663","C5GO - GOBP MRNA Processing"
"5664","C5GO - GOBP MRNA Pseudouridine Synthesis"
"5665","C5GO - GOBP MRNA Splice Site Selection"
"5666","C5GO - GOBP MRNA Transcription"
"5667","C5GO - GOBP MRNA Transport"
"5668","C5GO - GOBP Mucociliary Clearance"
"5669","C5GO - GOBP Mucopolysaccharide Metabolic Process"
"5670","C5GO - GOBP Mucosa Associated Lymphoid Tissue Development"
"5671","C5GO - GOBP Mucus Secretion"
"5672","C5GO - GOBP Multi Ciliated Epithelial Cell Differentiation"
"5673","C5GO - GOBP Multi Multicellular Organism Process"
"5674","C5GO - GOBP Multi Organism Reproductive Process"
"5675","C5GO - GOBP Multicellular Organism Aging"
"5676","C5GO - GOBP Multicellular Organism Growth"
"5677","C5GO - GOBP Multicellular Organism Reproduction"
"5678","C5GO - GOBP Multicellular Organismal Homeostasis"
"5679","C5GO - GOBP Multicellular Organismal Iron Ion Homeostasis"
"5680","C5GO - GOBP Multicellular Organismal Movement"
"5681","C5GO - GOBP Multicellular Organismal Response to Stress"
"5682","C5GO - GOBP Multicellular Organismal Signaling"
"5683","C5GO - GOBP Multinuclear Osteoclast Differentiation"
"5684","C5GO - GOBP Multivesicular Body Organization"
"5685","C5GO - GOBP Multivesicular Body Sorting Pathway"
"5686","C5GO - GOBP Muscle Adaptation"
"5687","C5GO - GOBP Muscle Atrophy"
"5688","C5GO - GOBP Muscle Cell Apoptotic Process"
"5689","C5GO - GOBP Muscle Cell Cellular Homeostasis"
"5690","C5GO - GOBP Muscle Cell Development"
"5691","C5GO - GOBP Muscle Cell Differentiation"
"5692","C5GO - GOBP Muscle Cell Fate Commitment"
"5693","C5GO - GOBP Muscle Cell Migration"
"5694","C5GO - GOBP Muscle Cell Proliferation"
"5695","C5GO - GOBP Muscle Contraction"
"5696","C5GO - GOBP Muscle Hypertrophy"
"5697","C5GO - GOBP Muscle Hypertrophy in Response to Stress"
"5698","C5GO - GOBP Muscle Organ Development"
"5699","C5GO - GOBP Muscle Organ Morphogenesis"
"5700","C5GO - GOBP Muscle Structure Development"
"5701","C5GO - GOBP Muscle System Process"
"5702","C5GO - GOBP Muscle Tissue Development"
"5703","C5GO - GOBP Muscular Septum Morphogenesis"
"5704","C5GO - GOBP MYCotoxin Metabolic Process"
"5705","C5GO - GOBP Myd88 Dependent Toll Like Receptor Signaling Pathway"
"5706","C5GO - GOBP Myd88 Independent Toll Like Receptor Signaling Pathway"
"5707","C5GO - GOBP Myelin Assembly"
"5708","C5GO - GOBP Myelin Maintenance"
"5709","C5GO - GOBP Myeloid Cell Activation Involved in Immune Response"
"5710","C5GO - GOBP Myeloid Cell Apoptotic Process"
"5711","C5GO - GOBP Myeloid Cell Development"
"5712","C5GO - GOBP Myeloid Cell Differentiation"
"5713","C5GO - GOBP Myeloid Cell Homeostasis"
"5714","C5GO - GOBP Myeloid Dendritic Cell Activation"
"5715","C5GO - GOBP Myeloid Dendritic Cell Chemotaxis"
"5716","C5GO - GOBP Myeloid Dendritic Cell Cytokine Production"
"5717","C5GO - GOBP Myeloid Dendritic Cell Differentiation"
"5718","C5GO - GOBP Myeloid Leukocyte Activation"
"5719","C5GO - GOBP Myeloid Leukocyte Cytokine Production"
"5720","C5GO - GOBP Myeloid Leukocyte Differentiation"
"5721","C5GO - GOBP Myeloid Leukocyte Mediated Immunity"
"5722","C5GO - GOBP Myeloid Leukocyte Migration"
"5723","C5GO - GOBP Myeloid Progenitor Cell Differentiation"
"5724","C5GO - GOBP Myoblast Differentiation"
"5725","C5GO - GOBP Myoblast Fate Commitment"
"5726","C5GO - GOBP Myoblast Fusion"
"5727","C5GO - GOBP Myoblast Fusion Involved in Skeletal Muscle Regeneration"
"5728","C5GO - GOBP Myoblast Migration"
"5729","C5GO - GOBP Myoblast Proliferation"
"5730","C5GO - GOBP Myofibroblast Differentiation"
"5731","C5GO - GOBP Myosin Filament Organization"
"5732","C5GO - GOBP Myotube Cell Development"
"5733","C5GO - GOBP Myotube Differentiation"
"5734","C5GO - GOBP Myotube Differentiation Involved in Skeletal Muscle Regeneration"
"5735","C5GO - GOBP N Acetylglucosamine Metabolic Process"
"5736","C5GO - GOBP N Acetylneuraminate Catabolic Process"
"5737","C5GO - GOBP N Acetylneuraminate Metabolic Process"
"5738","C5GO - GOBP N Acylethanolamine Metabolic Process"
"5739","C5GO - GOBP N Acylphosphatidylethanolamine Metabolic Process"
"5740","C5GO - GOBP N Glycan Processing"
"5741","C5GO - GOBP N Terminal Peptidyl Methionine Acetylation"
"5742","C5GO - GOBP N Terminal Protein Amino Acid Acetylation"
"5743","C5GO - GOBP N Terminal Protein Amino Acid Modification"
"5744","C5GO - GOBP N Terminal Protein Lipidation"
"5745","C5GO - GOBP Nad Biosynthesis via Nicotinamide Riboside Salvage Pathway"
"5746","C5GO - GOBP Nad Metabolic Process"
"5747","C5GO - GOBP Nadh Dehydrogenase Complex Assembly"
"5748","C5GO - GOBP Nadh Metabolic Process"
"5749","C5GO - GOBP Nadh Oxidation"
"5750","C5GO - GOBP Nadh Regeneration"
"5751","C5GO - GOBP Nadp Metabolic Process"
"5752","C5GO - GOBP Nadph Oxidation"
"5753","C5GO - GOBP Nadph Regeneration"
"5754","C5GO - GOBP Nail Development"
"5755","C5GO - GOBP Natural Killer Cell Activation"
"5756","C5GO - GOBP Natural Killer Cell Activation Involved in Immune Response"
"5757","C5GO - GOBP Natural Killer Cell Chemotaxis"
"5758","C5GO - GOBP Natural Killer Cell Cytokine Production"
"5759","C5GO - GOBP Natural Killer Cell Degranulation"
"5760","C5GO - GOBP Natural Killer Cell Differentiation"
"5761","C5GO - GOBP Natural Killer Cell Mediated Immune Response to Tumor Cell"
"5762","C5GO - GOBP Natural Killer Cell Mediated Immunity"
"5763","C5GO - GOBP Natural Killer Cell Proliferation"
"5764","C5GO - GOBP NcRNA 3 End Processing"
"5765","C5GO - GOBP NcRNA Catabolic Process"
"5766","C5GO - GOBP NcRNA Export from Nucleus"
"5767","C5GO - GOBP NcRNA Metabolic Process"
"5768","C5GO - GOBP NcRNA Processing"
"5769","C5GO - GOBP NcRNA Transcription"
"5770","C5GO - GOBP Necroptotic Signaling Pathway"
"5771","C5GO - GOBP Necrotic Cell Death"
"5772","C5GO - GOBP Negative Chemotaxis"
"5773","C5GO - GOBP Negative Regulation by Host of Viral Genome Replication"
"5774","C5GO - GOBP Negative Regulation by Host of Viral Process"
"5775","C5GO - GOBP Negative Regulation by Host of Viral Transcription"
"5776","C5GO - GOBP Negative Regulation of Actin Filament Bundle Assembly"
"5777","C5GO - GOBP Negative Regulation of Actin Filament Depolymerization"
"5778","C5GO - GOBP Negative Regulation of Actin Filament Polymerization"
"5779","C5GO - GOBP Negative Regulation of Actin Nucleation"
"5780","C5GO - GOBP Negative Regulation of Action Potential"
"5781","C5GO - GOBP Negative Regulation of Activated T Cell Proliferation"
"5782","C5GO - GOBP Negative Regulation of Activin Receptor Signaling Pathway"
"5783","C5GO - GOBP Negative Regulation of Acute Inflammatory Response"
"5784","C5GO - GOBP Negative Regulation of Acute Inflammatory Response to Antigenic Stimulus"
"5785","C5GO - GOBP Negative Regulation of Adaptive Immune Response"
"5786","C5GO - GOBP Negative Regulation of Adenylate Cyclase Activating Adrenergic Receptor Signaling Pathway"
"5787","C5GO - GOBP Negative Regulation of Adenylate Cyclase Activating G Protein Coupled Receptor Signaling Pathway"
"5788","C5GO - GOBP Negative Regulation of Adenylate Cyclase Activity"
"5789","C5GO - GOBP Negative Regulation of Alcohol Biosynthetic Process"
"5790","C5GO - GOBP Negative Regulation of Alpha Beta T Cell Activation"
"5791","C5GO - GOBP Negative Regulation of Alpha Beta T Cell Differentiation"
"5792","C5GO - GOBP Negative Regulation of Alpha Beta T Cell Proliferation"
"5793","C5GO - GOBP Negative Regulation of Amine Transport"
"5794","C5GO - GOBP Negative Regulation of Amino Acid Transport"
"5795","C5GO - GOBP Negative Regulation of Amyloid Beta Clearance"
"5796","C5GO - GOBP Negative Regulation of Amyloid Fibril Formation"
"5797","C5GO - GOBP Negative Regulation of Amyloid Precursor Protein Biosynthetic Process"
"5798","C5GO - GOBP Negative Regulation of Amyloid Precursor Protein Catabolic Process"
"5799","C5GO - GOBP Negative Regulation of Androgen Receptor Signaling Pathway"
"5800","C5GO - GOBP Negative Regulation of Anion Transmembrane Transport"
"5801","C5GO - GOBP Negative Regulation of Anion Transport"
"5802","C5GO - GOBP Negative Regulation of Anoikis"
"5803","C5GO - GOBP Negative Regulation of Antigen Processing and Presentation"
"5804","C5GO - GOBP Negative Regulation of Antigen Receptor Mediated Signaling Pathway"
"5805","C5GO - GOBP Negative Regulation of Apoptotic Process Involved in Development"
"5806","C5GO - GOBP Negative Regulation of Apoptotic Signaling Pathway"
"5807","C5GO - GOBP Negative Regulation of Arp2 3 Complex Mediated Actin Nucleation"
"5808","C5GO - GOBP Negative Regulation of Astrocyte Activation"
"5809","C5GO - GOBP Negative Regulation of Astrocyte Differentiation"
"5810","C5GO - GOBP Negative Regulation of Atp Biosynthetic Process"
"5811","C5GO - GOBP Negative Regulation of Atp Dependent Activity"
"5812","C5GO - GOBP Negative Regulation of Atp Metabolic Process"
"5813","C5GO - GOBP Negative Regulation of Atpase Coupled Calcium Transmembrane Transporter Activity"
"5814","C5GO - GOBP Negative Regulation of Autophagosome Assembly"
"5815","C5GO - GOBP Negative Regulation of Autophagosome Maturation"
"5816","C5GO - GOBP Negative Regulation of Autophagy"
"5817","C5GO - GOBP Negative Regulation of Autophagy of Mitochondrion"
"5818","C5GO - GOBP Negative Regulation of Axon Extension"
"5819","C5GO - GOBP Negative Regulation of Axon Extension Involved in Axon Guidance"
"5820","C5GO - GOBP Negative Regulation of Axonogenesis"
"5821","C5GO - GOBP Negative Regulation of B Cell Activation"
"5822","C5GO - GOBP Negative Regulation of B Cell Apoptotic Process"
"5823","C5GO - GOBP Negative Regulation of B Cell Differentiation"
"5824","C5GO - GOBP Negative Regulation of B Cell Mediated Immunity"
"5825","C5GO - GOBP Negative Regulation of B Cell Proliferation"
"5826","C5GO - GOBP Negative Regulation of B Cell Receptor Signaling Pathway"
"5827","C5GO - GOBP Negative Regulation of Behavior"
"5828","C5GO - GOBP Negative Regulation of Bicellular Tight Junction Assembly"
"5829","C5GO - GOBP Negative Regulation of Binding"
"5830","C5GO - GOBP Negative Regulation of Biomineralization"
"5831","C5GO - GOBP Negative Regulation of Biosynthetic Process"
"5832","C5GO - GOBP Negative Regulation of Blood Circulation"
"5833","C5GO - GOBP Negative Regulation of Blood Pressure"
"5834","C5GO - GOBP Negative Regulation of Blood Vessel Endothelial Cell Migration"
"5835","C5GO - GOBP Negative Regulation of Blood Vessel Endothelial Cell Proliferation Involved in Sprouting Angiogenesis"
"5836","C5GO - GOBP Negative Regulation of Bmp Signaling Pathway"
"5837","C5GO - GOBP Negative Regulation of Bone Mineralization"
"5838","C5GO - GOBP Negative Regulation of Bone Remodeling"
"5839","C5GO - GOBP Negative Regulation of Calcineurin Mediated Signaling"
"5840","C5GO - GOBP Negative Regulation of Calcium Ion Dependent Exocytosis"
"5841","C5GO - GOBP Negative Regulation of Calcium Ion Import"
"5842","C5GO - GOBP Negative Regulation of Calcium Ion Transmembrane Transport"
"5843","C5GO - GOBP Negative Regulation of Calcium Ion Transport"
"5844","C5GO - GOBP Negative Regulation of Calcium Ion Transport Into Cytosol"
"5845","C5GO - GOBP Negative Regulation of Calcium Mediated Signaling"
"5846","C5GO - GOBP Negative Regulation of Camp Dependent Protein Kinase Activity"
"5847","C5GO - GOBP Negative Regulation of Camp Mediated Signaling"
"5848","C5GO - GOBP Negative Regulation of Canonical Wnt Signaling Pathway"
"5849","C5GO - GOBP Negative Regulation of Carbohydrate Metabolic Process"
"5850","C5GO - GOBP Negative Regulation of Cardiac Muscle Adaptation"
"5851","C5GO - GOBP Negative Regulation of Cardiac Muscle Cell Differentiation"
"5852","C5GO - GOBP Negative Regulation of Cardiac Muscle Cell Proliferation"
"5853","C5GO - GOBP Negative Regulation of Cardiac Muscle Contraction"
"5854","C5GO - GOBP Negative Regulation of Cardiac Muscle Tissue Growth"
"5855","C5GO - GOBP Negative Regulation of Cardiocyte Differentiation"
"5856","C5GO - GOBP Negative Regulation of Cartilage Development"
"5857","C5GO - GOBP Negative Regulation of Catabolic Process"
"5858","C5GO - GOBP Negative Regulation of Catalytic Activity"
"5859","C5GO - GOBP Negative Regulation of Catecholamine Secretion"
"5860","C5GO - GOBP Negative Regulation of Cation Channel Activity"
"5861","C5GO - GOBP Negative Regulation of Cd4 Positive Alpha Beta T Cell Activation"
"5862","C5GO - GOBP Negative Regulation of Cd4 Positive Alpha Beta T Cell Differentiation"
"5863","C5GO - GOBP Negative Regulation of Cd4 Positive Alpha Beta T Cell Proliferation"
"5864","C5GO - GOBP Negative Regulation of Cd8 Positive Alpha Beta T Cell Activation"
"5865","C5GO - GOBP Negative Regulation of Cell Activation"
"5866","C5GO - GOBP Negative Regulation of Cell Adhesion"
"5867","C5GO - GOBP Negative Regulation of Cell Adhesion Mediated by Integrin"
"5868","C5GO - GOBP Negative Regulation of Cell Adhesion Molecule Production"
"5869","C5GO - GOBP Negative Regulation of Cell Aging"
"5870","C5GO - GOBP Negative Regulation of Cell Cell Adhesion"
"5871","C5GO - GOBP Negative Regulation of Cell Cell Adhesion Mediated by Cadherin"
"5872","C5GO - GOBP Negative Regulation of Cell Chemotaxis to Fibroblast Growth Factor"
"5873","C5GO - GOBP Negative Regulation of Cell Cycle"
"5874","C5GO - GOBP Negative Regulation of Cell Cycle Checkpoint"
"5875","C5GO - GOBP Negative Regulation of Cell Cycle G1 S Phase Transition"
"5876","C5GO - GOBP Negative Regulation of Cell Cycle G2 M Phase Transition"
"5877","C5GO - GOBP Negative Regulation of Cell Cycle Phase Transition"
"5878","C5GO - GOBP Negative Regulation of Cell Cycle Process"
"5879","C5GO - GOBP Negative Regulation of Cell Death"
"5880","C5GO - GOBP Negative Regulation of Cell Development"
"5881","C5GO - GOBP Negative Regulation of Cell Differentiation"
"5882","C5GO - GOBP Negative Regulation of Cell Division"
"5883","C5GO - GOBP Negative Regulation of Cell Fate Commitment"
"5884","C5GO - GOBP Negative Regulation of Cell Fate Specification"
"5885","C5GO - GOBP Negative Regulation of Cell Growth"
"5886","C5GO - GOBP Negative Regulation of Cell Growth Involved in Cardiac Muscle Cell Development"
"5887","C5GO - GOBP Negative Regulation of Cell Junction Assembly"
"5888","C5GO - GOBP Negative Regulation of Cell Killing"
"5889","C5GO - GOBP Negative Regulation of Cell Matrix Adhesion"
"5890","C5GO - GOBP Negative Regulation of Cell Maturation"
"5891","C5GO - GOBP Negative Regulation of Cell Migration Involved in Sprouting Angiogenesis"
"5892","C5GO - GOBP Negative Regulation of Cell Morphogenesis Involved in Differentiation"
"5893","C5GO - GOBP Negative Regulation of Cell Population Proliferation"
"5894","C5GO - GOBP Negative Regulation of Cell Projection Organization"
"5895","C5GO - GOBP Negative Regulation of Cell Proliferation Involved in Heart Morphogenesis"
"5896","C5GO - GOBP Negative Regulation of Cell Proliferation Involved in Kidney Development"
"5897","C5GO - GOBP Negative Regulation of Cell Size"
"5898","C5GO - GOBP Negative Regulation of Cell Substrate Adhesion"
"5899","C5GO - GOBP Negative Regulation of Cell Substrate Junction Organization"
"5900","C5GO - GOBP Negative Regulation of Cell Volume"
"5901","C5GO - GOBP Negative Regulation of Cellular Amide Metabolic Process"
"5902","C5GO - GOBP Negative Regulation of Cellular Amine Metabolic Process"
"5903","C5GO - GOBP Negative Regulation of Cellular Catabolic Process"
"5904","C5GO - GOBP Negative Regulation of Cellular Component Organization"
"5905","C5GO - GOBP Negative Regulation of Cellular Extravasation"
"5906","C5GO - GOBP Negative Regulation of Cellular Macromolecule Biosynthetic Process"
"5907","C5GO - GOBP Negative Regulation of Cellular Protein Catabolic Process"
"5908","C5GO - GOBP Negative Regulation of Cellular Respiration"
"5909","C5GO - GOBP Negative Regulation of Cellular Response to Growth Factor Stimulus"
"5910","C5GO - GOBP Negative Regulation of Cellular Response to Hypoxia"
"5911","C5GO - GOBP Negative Regulation of Cellular Response to Insulin Stimulus"
"5912","C5GO - GOBP Negative Regulation of Cellular Response to Oxidative Stress"
"5913","C5GO - GOBP Negative Regulation of Cellular Response to Transforming Growth Factor Beta Stimulus"
"5914","C5GO - GOBP Negative Regulation of Cellular Response to Vascular Endothelial Growth Factor Stimulus"
"5915","C5GO - GOBP Negative Regulation of Cellular Senescence"
"5916","C5GO - GOBP Negative Regulation of Centriole Replication"
"5917","C5GO - GOBP Negative Regulation of Centrosome Duplication"
"5918","C5GO - GOBP Negative Regulation of Ceramide Biosynthetic Process"
"5919","C5GO - GOBP Negative Regulation of Cgmp Mediated Signaling"
"5920","C5GO - GOBP Negative Regulation of Chemokine C C Motif Ligand 5 Production"
"5921","C5GO - GOBP Negative Regulation of Chemokine C X C Motif Ligand 2 Production"
"5922","C5GO - GOBP Negative Regulation of Chemokine Mediated Signaling Pathway"
"5923","C5GO - GOBP Negative Regulation of Chemokine Production"
"5924","C5GO - GOBP Negative Regulation of Chemotaxis"
"5925","C5GO - GOBP Negative Regulation of Cholesterol Efflux"
"5926","C5GO - GOBP Negative Regulation of Cholesterol Metabolic Process"
"5927","C5GO - GOBP Negative Regulation of Cholesterol Storage"
"5928","C5GO - GOBP Negative Regulation of Chondrocyte Differentiation"
"5929","C5GO - GOBP Negative Regulation of Chondrocyte Proliferation"
"5930","C5GO - GOBP Negative Regulation of Chromatin Binding"
"5931","C5GO - GOBP Negative Regulation of Chromatin Organization"
"5932","C5GO - GOBP Negative Regulation of Chromosome Organization"
"5933","C5GO - GOBP Negative Regulation of Chronic Inflammatory Response"
"5934","C5GO - GOBP Negative Regulation of Cilium Assembly"
"5935","C5GO - GOBP Negative Regulation of Circadian Rhythm"
"5936","C5GO - GOBP Negative Regulation of Coagulation"
"5937","C5GO - GOBP Negative Regulation of Cold Induced Thermogenesis"
"5938","C5GO - GOBP Negative Regulation of Collagen Metabolic Process"
"5939","C5GO - GOBP Negative Regulation of Collateral Sprouting"
"5940","C5GO - GOBP Negative Regulation of Complement Activation"
"5941","C5GO - GOBP Negative Regulation of Creb Transcription Factor Activity"
"5942","C5GO - GOBP Negative Regulation of Cyclic Nucleotide Phosphodiesterase Activity"
"5943","C5GO - GOBP Negative Regulation of Cyclin Dependent Protein Serine Threonine Kinase Activity"
